STATION;LATITUDE;LONGITUDE
3;47.18333;-61.75
4;47.18333;-61.73333
5;47.18333;-61.71667
6;47.18333;-61.7
7;47.18333;-61.68333
8;47.18333;-61.66667
9;47.175;-61.75
10;47.175;-61.73333
11;47.175;-61.71667
12;47.175;-61.7
13;47.175;-61.68333
14;47.175;-61.66667
23;47.16667;-61.78333
24;47.16667;-61.76667
25;47.16667;-61.75
26;47.16667;-61.73333
27;47.16667;-61.71667
28;47.16667;-61.7
29;47.16667;-61.68333
30;47.16667;-61.66667
40;47.15833;-61.81667
41;47.15833;-61.78333
42;47.15833;-61.76667
43;47.15833;-61.75
44;47.15833;-61.73333
45;47.15833;-61.71667
46;47.15833;-61.7
47;47.15833;-61.68333
48;47.15833;-61.66667
55;47.15;-61.83333
56;47.15;-61.81667
57;47.15;-61.8
58;47.15;-61.78333
59;47.15;-61.76667
60;47.15;-61.75
61;47.15;-61.73333
62;47.15;-61.71667
63;47.15;-61.7
64;47.15;-61.68333
65;47.15;-61.66667
75;47.14167;-61.83333
76;47.14167;-61.81667
77;47.14167;-61.8
78;47.14167;-61.78333
79;47.14167;-61.76667
80;47.14167;-61.75
81;47.14167;-61.73333
82;47.14167;-61.71667
83;47.14167;-61.7
84;47.14167;-61.68333
85;47.14167;-61.66667
95;47.13333;-61.85
96;47.13333;-61.83333
97;47.13333;-61.81667
98;47.13333;-61.8
99;47.13333;-61.78333
100;47.13333;-61.76667
101;47.13333;-61.75
117;47.125;-61.85
118;47.125;-61.83333
119;47.125;-61.81667
120;47.125;-61.78333
138;47.11667;-61.85
139;47.11667;-61.83333
140;47.11667;-61.81667
231;47.15833;-61.8
300;47.14167;-61.85
301;47.125;-61.8
234;47.15;-61.9
235;47.14167;-61.9
236;47.14167;-61.88333
237;47.14167;-61.86667
238;47.13333;-61.9
239;47.13333;-61.88333
240;47.13333;-61.86667
