STATION;LATITUDE;LONGITUDE
102;47.13333;-61.73333
103;47.13333;-61.71667
104;47.13333;-61.7
105;47.13333;-61.68333
106;47.13333;-61.66667
121;47.125;-61.76667
122;47.125;-61.75
123;47.125;-61.73333
124;47.125;-61.71667
125;47.125;-61.7
126;47.125;-61.68333
127;47.125;-61.66667
141;47.11667;-61.78333
142;47.11667;-61.76667
143;47.11667;-61.75
144;47.11667;-61.73333
145;47.11667;-61.71667
146;47.11667;-61.7
147;47.11667;-61.68333
148;47.11667;-61.66667
149;47.11667;-61.65
150;47.11667;-61.63333
151;47.11667;-61.61667
152;47.11667;-61.6
153;47.11667;-61.58333
161;47.10833;-61.76667
162;47.10833;-61.75
163;47.10833;-61.73333
164;47.10833;-61.71667
165;47.10833;-61.7
166;47.10833;-61.68333
167;47.10833;-61.66667
168;47.10833;-61.65
169;47.10833;-61.63333
170;47.10833;-61.61667
171;47.10833;-61.6
172;47.10833;-61.58333
178;47.1;-61.73333
179;47.1;-61.71667
180;47.1;-61.7
181;47.1;-61.68333
182;47.1;-61.66667
183;47.1;-61.65
184;47.1;-61.63333
185;47.1;-61.61667
186;47.1;-61.6
187;47.1;-61.58333
188;47.1;-61.56667
192;47.09167;-61.7
193;47.09167;-61.68333
194;47.09167;-61.66667
195;47.09167;-61.65
196;47.09167;-61.63333
197;47.09167;-61.61667
198;47.09167;-61.6
199;47.09167;-61.58333
200;47.09167;-61.56667
204;47.08333;-61.7
205;47.08333;-61.68333
206;47.08333;-61.66667
207;47.08333;-61.65
208;47.08333;-61.63333
209;47.08333;-61.61667
210;47.08333;-61.6
211;47.08333;-61.58333
212;47.08333;-61.56667
216;47.075;-61.7
217;47.075;-61.68333
218;47.075;-61.66667
219;47.075;-61.65
220;47.075;-61.63333
221;47.075;-61.61667
222;47.075;-61.6
223;47.075;-61.58333
224;47.075;-61.56667
228;47.06667;-61.68333
229;47.06667;-61.66667
230;47.06667;-61.65
302;47.1;-61.75
303;47.09167;-61.75
304;47.09167;-61.73333
305;47.09167;-61.71667
306;47.08333;-61.73333
307;47.08333;-61.71667
308;47.075;-61.71667
309;47.06667;-61.7
310;47.06667;-61.63333
311;47.06667;-61.61667
312;47.06667;-61.6
313;47.075;-61.73333
